"Bitpacking","Gzip+","Gzip-","LZ4+","LZ4-","LZMA+","LZMA-","bzip2+","bzip2-","xz+","xz-"
2.64589368479,2.9096407783,3.99988712319,4.18761679002,1.37104031945,2.41125192869,3.66891060908,3.95442911929,3.66833834068,3.95381360544,2.90909082446
2.6541994671,2.90206582032,3.99726163594,4.2035250572,1.3696417462,2.38177464612,3.68902071809,3.94448336883,3.68844542464,3.94386911939,2.90909082446
2.84589581589,3.23832471812,4.40611273238,4.5516710937,1.36544859788,2.73977988471,4.07863190368,4.51272768023,4.07799641185,4.51202291674,1.77777774617
2.84905790238,3.22545466896,4.39173117827,4.54253158124,1.36485037168,2.73758791498,4.07652485062,4.48169484792,4.07588947525,4.48099462308,1.88235290574
2.87448199948,3.29754268438,4.46859182093,4.59127152223,1.36350091841,2.78524884029,4.11700825656,4.56928116594,4.11636672349,4.56856713425,1.99999996
2.83979860461,3.17045526295,4.32602363318,4.49665116401,1.36501735169,2.70029229044,4.0634116518,4.4462782378,4.06277738613,4.44558369936,1.88235290574
2.8406983587,3.20583731682,4.35624704395,4.51765229717,1.36592707145,2.71873719008,4.0608443208,4.45225235941,4.06021065022,4.45155803418,1.99999996
2.8395406864,3.1937539626,4.34808432536,4.51501294291,1.36738582102,2.70706343437,4.06312421015,4.43036994674,4.06249052932,4.42967845584,1.99999996
2.8202022367,3.12784761202,4.27510949491,4.4606472997,1.37030353813,2.63735618019,4.03302446113,4.39955659949,4.03239562124,4.39886922668,1.99999996
2.76710823119,2.99628857225,4.13070615878,4.37208823023,1.37426150236,2.52276152122,3.95479280302,4.26626252077,3.95417584694,4.26559669577,1.99999996
2.72045836241,2.93983192981,4.04025916242,4.30717037804,1.37921548334,2.46111042521,3.84597977859,4.18656510534,3.84538003737,4.1859113943,2.13333328782
2.65069093473,2.85538799687,3.96525846724,4.25278928222,1.3887992149,2.37319419723,3.72330261708,4.08460099095,3.72272281883,4.08396451345,2.13333328782
2.74918512606,2.88548626738,4.09605192614,4.47416342875,1.40687665694,2.37126105115,3.85851809638,4.26279327671,3.85791693164,4.26212785284,1.99999996
